sample,fastq_1,fastq_2,strandedness
rheumatoid_arthritis_tissue_135,fastq_files/rheumatoid_arthritis_tissue_135_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_135_2.fastq.gz,auto
rheumatoid_arthritis_tissue_22,fastq_files/rheumatoid_arthritis_tissue_22_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_22_2.fastq.gz,auto
rheumatoid_arthritis_tissue_18,fastq_files/rheumatoid_arthritis_tissue_18_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_18_2.fastq.gz,auto
rheumatoid_arthritis_tissue_137,fastq_files/rheumatoid_arthritis_tissue_137_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_137_2.fastq.gz,auto
rheumatoid_arthritis_tissue_21,fastq_files/rheumatoid_arthritis_tissue_21_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_21_2.fastq.gz,auto
rheumatoid_arthritis_tissue_29,fastq_files/rheumatoid_arthritis_tissue_29_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_29_2.fastq.gz,auto
rheumatoid_arthritis_tissue_138,fastq_files/rheumatoid_arthritis_tissue_138_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_138_2.fastq.gz,auto
rheumatoid_arthritis_tissue_24,fastq_files/rheumatoid_arthritis_tissue_24_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_24_2.fastq.gz,auto
rheumatoid_arthritis_tissue_141,fastq_files/rheumatoid_arthritis_tissue_141_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_141_2.fastq.gz,auto
rheumatoid_arthritis_tissue_30,fastq_files/rheumatoid_arthritis_tissue_30_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_30_2.fastq.gz,auto
rheumatoid_arthritis_tissue_25,fastq_files/rheumatoid_arthritis_tissue_25_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_25_2.fastq.gz,auto
rheumatoid_arthritis_tissue_143,fastq_files/rheumatoid_arthritis_tissue_143_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_143_2.fastq.gz,auto
rheumatoid_arthritis_tissue_26,fastq_files/rheumatoid_arthritis_tissue_26_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_26_2.fastq.gz,auto
rheumatoid_arthritis_tissue_33,fastq_files/rheumatoid_arthritis_tissue_33_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_33_2.fastq.gz,auto
rheumatoid_arthritis_tissue_32,fastq_files/rheumatoid_arthritis_tissue_32_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_32_2.fastq.gz,auto
rheumatoid_arthritis_tissue_148,fastq_files/rheumatoid_arthritis_tissue_148_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_148_2.fastq.gz,auto
rheumatoid_arthritis_tissue_42,fastq_files/rheumatoid_arthritis_tissue_42_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_42_2.fastq.gz,auto
rheumatoid_arthritis_tissue_150,fastq_files/rheumatoid_arthritis_tissue_150_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_150_2.fastq.gz,auto
rheumatoid_arthritis_tissue_34,fastq_files/rheumatoid_arthritis_tissue_34_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_34_2.fastq.gz,auto
rheumatoid_arthritis_tissue_44,fastq_files/rheumatoid_arthritis_tissue_44_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_44_2.fastq.gz,auto
rheumatoid_arthritis_tissue_152,fastq_files/rheumatoid_arthritis_tissue_152_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_152_2.fastq.gz,auto
rheumatoid_arthritis_tissue_46,fastq_files/rheumatoid_arthritis_tissue_46_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_46_2.fastq.gz,auto
rheumatoid_arthritis_tissue_35,fastq_files/rheumatoid_arthritis_tissue_35_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_35_2.fastq.gz,auto
rheumatoid_arthritis_tissue_47,fastq_files/rheumatoid_arthritis_tissue_47_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_47_2.fastq.gz,auto
rheumatoid_arthritis_tissue_36,fastq_files/rheumatoid_arthritis_tissue_36_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_36_2.fastq.gz,auto
rheumatoid_arthritis_tissue_48,fastq_files/rheumatoid_arthritis_tissue_48_1.fastq.gz,fastq_files/rheumatoid_arthritis_tissue_48_2.fastq.gz,auto
